Acc_X,Acc_Y,Acc_Z,Class
2.281914,-9.441272,1.776147,1
2.571204,-9.515283,0.340229,1
2.345099,-9.378677,1.143238,1
2.367784,-9.698135,1.079824,1
2.488527,-9.800201,0.658844,1
2.14097,-9.469673,1.318391,1
2.66352,-10.166664,0.275403,1
2.035796,-9.215004,1.358462,1
2.864279,-10.129232,0.208281,1
2.035922,-9.031315,1.429955,1
2.313543,-10.272993,0.120336,1
1.997769,-9.139764,1.549344,1
2.549151,-9.977771,0.308462,1
2.041909,-9.317369,1.157794,1
2.813926,-9.939636,0.389756,1
1.821512,-9.286554,1.298331,1
2.906635,-9.760229,0.371234,1
1.962801,-9.287731,1.639576,1
2.325997,-10.351454,0.352099,1
2.022393,-9.004228,1.611715,1
2.158201,-10.119205,0.196785,1
1.330874,-9.44752,1.301779,1
2.479953,-10.096333,-0.231223,1
1.78841,-9.269978,1.485868,1
2.407302,-9.247115,-0.361545,1
2.021699,-9.524063,1.318729,1
2.453399,-9.695771,0.471272,1
2.058068,-9.36869,1.146303,1
2.515737,-9.836354,0.79907,1
2.432296,-9.559111,0.606821,1
2.115767,-9.687318,1.127925,1
2.742342,-9.719231,0.57177,1
2.101732,-9.463756,1.359666,1
2.582075,-9.936954,0.51356,1
2.071972,-9.42362,1.381083,1
2.453743,-10.23427,0.520615,1
1.888929,-9.062996,1.597918,1
2.1738,-10.435908,0.301487,1
2.142332,-9.012636,1.4177,1
2.174851,-10.281817,0.439665,1
2.030135,-9.093997,1.858475,1
2.470789,-10.063806,0.401271,1
2.154083,-9.209565,1.76961,1
2.588303,-9.74227,-0.03001,1
1.885013,-9.267178,1.842108,1
2.34318,-10.092602,0.056157,1
2.230252,-9.379507,2.109821,1
2.070166,-9.695044,-0.240836,1
1.865679,-9.38691,1.986234,1
2.321975,-9.783801,0.09354,1
1.754326,-10.096322,0.273283,1
2.075782,-9.714042,0.570735,1
2.503746,-9.566444,0.670984,1
2.103551,-9.701895,1.125799,1
2.888559,-9.630224,0.786086,1
2.056041,-9.482328,1.478489,1
2.39782,-10.219647,0.411838,1
2.060598,-9.178342,1.312983,1
2.564666,-10.254864,0.460865,1
1.971056,-8.987141,1.528423,1
2.658823,-10.061915,0.383758,1
2.114003,-9.246457,1.335282,1
2.677427,-9.480175,0.603298,1
2.365182,-9.73775,1.263067,1
2.378041,-9.56009,0.577347,1
2.165746,-9.72797,1.098945,1
2.292623,-9.548467,0.824161,1
2.195589,-9.706353,1.17525,1
1.963369,-9.628936,1.044417,1
2.47535,-9.769803,0.693935,1
2.22712,-9.450771,1.061906,1
2.357741,-9.832479,0.768112,1
2.432419,-9.54123,0.911833,1
2.155524,-9.69053,1.246574,1
2.242145,-10.196373,0.370861,1
1.892967,-9.304602,1.514578,1
1.953731,-10.338593,0.121577,1
1.758342,-9.221866,1.162754,1
2.417066,-10.139354,0.019957,1
1.845672,-9.340899,1.762555,1
2.513544,-9.808902,0.340022,1
1.634887,-9.312161,1.315129,1
2.74951,-10.029706,0.293766,1
2.000475,-9.350238,1.803798,1
2.382301,-9.939776,0.443147,1
2.05257,-9.420225,1.517294,1
2.337374,-9.961735,0.468738,1
1.830179,-9.250788,2.04362,1
2.091591,-9.819827,-0.069225,1
2.1758,-9.857368,2.211094,1
1.996933,-9.187621,-0.147458,1
2.348887,-9.374439,2.163859,1
2.038969,-9.974127,0.098554,1
2.7523,-9.358147,2.253397,1
1.943224,-9.881272,0.049966,1
2.497543,-9.566427,2.243817,1
2.101292,-9.411255,-0.062512,1
2.011502,-9.396649,1.453684,1
2.536439,-9.828332,0.526578,1
2.111622,-9.426786,1.857745,1
2.424035,-9.673399,0.292593,1
1.929903,-9.534368,1.286416,1
2.546068,-9.56333,0.76609,1
2.075624,-9.769186,0.789868,1
1.687854,-9.801127,1.068237,1
1.975824,-10.362061,-0.384596,1
2.05919,-9.392254,1.463502,1
2.467839,-10.092686,0.130002,1
2.163595,-9.261824,1.682101,1
2.444332,-9.947585,0.237472,1
2.046337,-9.195483,1.851629,1
2.479995,-9.914502,0.394791,1
1.933168,-9.376583,1.362031,1
2.474179,-9.868834,0.352584,1
2.02713,-9.560397,1.489941,1
2.379258,-9.84761,0.292549,1
1.992474,-9.501615,1.606741,1
2.384817,-10.077778,0.07167,1
2.051176,-9.246253,1.528274,1
2.331982,-10.113001,0.322908,1
1.926545,-9.269567,1.632425,1
2.207168,-10.118824,0.275368,1
2.009916,-9.349159,1.630827,1
2.386471,-9.820407,-0.001504,1
2.099253,-9.412995,1.529635,1
2.492132,-9.847417,0.326723,1
